"Save and Continue Edit","Save and Continue Edit"
"Save Attribute","Save Attribute"
Reset,Reset
"Delete Attribute","Delete Attribute"
"Edit Customer Attribute ""%1""","Edit Customer Attribute ""%1"""
"New Customer Attribute","New Customer Attribute"
"Attribute Properties","Attribute Properties"
"Default label","Default label"
"Attribute Code","Attribute Code"
"Make sure you don't use spaces or more than %1 characters.","Make sure you don't use spaces or more than %1 characters."
"Select Websites","Select Websites"
"Input Type for Store Owner","Input Type for Store Owner"
"Values Required","Values Required"
"Input Validation for Store Owner","Input Validation for Store Owner"
"Input Field Sort Order","Input Field Sort Order"
"Display Fields in Form","Display Fields in Form"
"Admin Customer Form","Admin Customer Form"
"Admin Checkout","Admin Checkout"
"Customer Account","Customer Account"
"Registration Form","Registration Form"
Status,Status
Enable,Enable
Disable,Disable
"Has Parent","Has Parent"
No,No
Yes,Yes
label,label
"Dependable Fields Properties","Dependable Fields Properties"
"Select Parent Attribute","Select Parent Attribute"
"Parent Attribute","Parent Attribute"
"Select Option","Select Option"
"Parent Attribute Options","Parent Attribute Options"
"Media Image","Media Image"
File,File
Radio,Radio
Gallery,Gallery
"Attribute Information","Attribute Information"
Properties,Properties
"Manage Labels","Manage Labels"
"Read error!","Read error!"
Author,Author
Webkul,Webkul
Version,Version
"User Guide","User Guide"
"Click Here","Click Here"
"Store Extension","Store Extension"
Ticket/Customisations,Ticket/Customisations
Services,Services
"Please select item(s).","Please select item(s)."
"A total of %1 record(s) have been updated.","A total of %1 record(s) have been updated."
Customregistration,Customregistration
"Manage Custom Fields","Manage Custom Fields"
"This attribute no longer exists.","This attribute no longer exists."
"This attribute cannot be edited.","This attribute cannot be edited."
"New Custom Attribute","New Custom Attribute"
"A total of %1 record(s) have been deleted.","A total of %1 record(s) have been deleted."
"Something went wrong.","Something went wrong."
"Attribute code ""%1"" is invalid. Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","Attribute code ""%1"" is invalid. Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter."
"Attribute code ""%1"" is already exists.","Attribute code ""%1"" is already exists."
"You saved the custom attribute.","You saved the custom attribute."
"An attribute with this code already exists.","An attribute with this code already exists."
"An attribute with the same code (%1) already exists.","An attribute with the same code (%1) already exists."
"An dependable attribute with this code already exists.","An dependable attribute with this code already exists."
"An dependable attribute with the same code (%1) already exists.","An dependable attribute with the same code (%1) already exists."
"The value of Admin scope can't be empty.","The value of Admin scope can't be empty."
"$_FILES array is empty.","$_FILES array is empty."
"Edit Additional Account Information","Edit Additional Account Information"
"Please Fill all the Required Fields.","Please Fill all the Required Fields."
"Customer additional information saved successfully.","Customer additional information saved successfully."
"Page not found.","Page not found."
Popup,Popup
Slide,Slide
Text,Text
HTML,HTML
"Text Area","Text Area"
Date,Date
Dropdown,Dropdown
"Multiple Select","Multiple Select"
"Radio Button","Radio Button"
"Dependable Field","Dependable Field"
"Check Terms and Conditions & Privacy & Cookie Policy.","Check Terms and Conditions & Privacy & Cookie Policy."
"Custom Registration Fields","Custom Registration Fields"
"Error: %1","Error: %1"
Edit,Edit
"Allowed Extension","Allowed Extension"
"Dependable Allowed Extension","Dependable Allowed Extension"
"Manage Options (values of your attribute)","Manage Options (values of your attribute)"
"Is Default","Is Default"
"Add Option","Add Option"
"Sort Option","Sort Option"
Delete,Delete
"Order & Account Information","Order & Account Information"
"The order confirmation email was sent","The order confirmation email was sent"
"The order confirmation email is not sent","The order confirmation email is not sent"
"Order # %1","Order # %1"
"Order Date","Order Date"
"Order Date (%1)","Order Date (%1)"
"Order Status","Order Status"
"Purchased From","Purchased From"
"Link to the New Order","Link to the New Order"
"Link to the Previous Order","Link to the Previous Order"
"Placed from IP","Placed from IP"
"%1 / %2 rate:","%1 / %2 rate:"
"Account Information","Account Information"
"Customer Name","Customer Name"
Email,Email
"Customer Group","Customer Group"
Download,Download
"Address Information","Address Information"
"Billing Address","Billing Address"
"Shipping Address","Shipping Address"
"Terms & Conditions ","Terms & Conditions "
and,and
" Privacy & Cookie Policy"," Privacy & Cookie Policy"
"Additional Information","Additional Information"
"My Attribute","My Attribute"
"Select Date","Select Date"
"* Required Fields","* Required Fields"
"Additional Account Information","Additional Account Information"
Remove,Remove
Save,Save
"No Additional Account Information","No Additional Account Information"
"Additional Information:","Additional Information:"
Items,Items
Qty,Qty
Price,Price
"Gift Message for this Order","Gift Message for this Order"
From:,From:
To:,To:
Message:,Message:
"Personal Information","Personal Information"
"Sign Up for Newsletter","Sign Up for Newsletter"
Address,Address
"Street Address %1","Street Address %1"
"Please select a region, state or province.","Please select a region, state or province."
"Sign-in Information","Sign-in Information"
Password,Password
"Password Strength","Password Strength"
"No Password","No Password"
"Confirm Password","Confirm Password"
"Create an Account","Create an Account"
Back,Back
Attention,Attention
"Please enter a valid date.","Please enter a valid date."
"'%1' is not a valid file.","'%1' is not a valid file."
"Invalid File Extension. Allowed extensions are %1","Invalid File Extension. Allowed extensions are %1"
"File you are trying to upload exceeds maximum file size limit.","File you are trying to upload exceeds maximum file size limit."
"Custom Registration Settings","Custom Registration Settings"
